#Yuan et al 2016, 450 Days of Type II SN 2013ej in Optical and Near-Infrared
#Table 2: Optical and NIR photometric observations of SN 2013ej.
#UT Date, JD (-2400000), Magnitude (error), filter, Telescope/Instrument (see footnote)
2013/07/27 , 56500.878 ,         12.25 (0.06) ,     U ,      1m004
2013/08/29 , 56533.969 ,         15.34 (0.08) ,     u ,      1m008
2013/08/31 , 56535.882 ,         15.71 (0.06) ,     u ,      1m008
2013/09/01 , 56536.923 ,         15.75 (0.07) ,     u ,      1m008
2013/09/06 , 56541.909 ,         16.10 (0.04) ,     u ,      1m008
2013/09/08 , 56543.867 ,         15.93 (0.08) ,     u ,      1m008
2013/09/14 , 56549.846 ,         16.70 (0.09) ,     u ,      1m008
2013/09/24 , 56559.768 ,         16.52 (0.07) ,     u ,      1m008
2013/09/26 , 56561.760 ,         16.71 (0.05) ,     u ,      1m008
2013/09/29 , 56564.733 ,         17.20 (0.10) ,     u ,      1m008
2013/10/08 , 56574.450 ,         17.53 (0.15) ,     u ,      1m010
2013/10/13 , 56579.470 ,         18.12 (0.20) ,     u ,      1m010
2013/10/16 , 56581.641 ,         16.83 (0.11) ,     u ,      1m005
2013/10/18 , 56583.626 ,         17.09 (0.09) ,     u ,      1m004
2013/11/29 , 56625.582 ,         17.56 (0.11) ,     u ,      1m005
2013/07/27 , 56500.844 ,         12.92 (0.01) ,     g ,      1m004
2013/07/27 , 56500.901 ,         12.91 (0.02) ,     g ,      1m004
2013/07/28 , 56501.844 ,         12.78 (0.01) ,     g ,      1m004
2013/07/29 , 56502.844 ,         12.69 (0.01) ,     g ,      1m009
2013/07/29 , 56502.844 ,         12.71 (0.01) ,     g ,      1m004
2013/08/02 , 56506.865 ,         12.54 (0.02) ,     g ,      1m004
2013/08/05 , 56509.859 ,         12.54 (0.01) ,     g ,      1m008
2013/08/11 , 56515.677 ,         12.66 (0.03) ,     g ,      1m013
2013/08/12 , 56516.797 ,         12.72 (0.01) ,     g ,      1m004
2013/08/13 , 56517.819 ,         12.75 (0.01) ,     g ,      1m004
2013/08/15 , 56519.810 ,         12.84 (0.03) ,     g ,      1m008
2013/08/16 , 56520.788 ,         12.89 (0.02) ,     g ,      1m005
2013/08/18 , 56522.865 ,         12.98 (0.01) ,     g ,      1m008
2013/08/20 , 56524.833 ,         13.20 (0.02) ,     g ,      1m005
2013/08/21 , 56525.820 ,         13.12 (0.01) ,     g ,      1m004
2013/08/24 , 56529.125 ,         13.26 (0.01) ,     g ,      1m011
2013/08/25 , 56529.809 ,         13.30 (0.02) ,     g ,      1m009
2013/08/29 , 56533.967 ,         13.46 (0.02) ,     g ,      1m008
2013/08/31 , 56535.886 ,         13.56 (0.02) ,     g ,      1m008
2013/09/01 , 56536.925 ,         13.59 (0.02) ,     g ,      1m008
2013/09/03 , 56538.895 ,         13.64 (0.03) ,     g ,      1m008
2013/09/06 , 56541.913 ,         13.73 (0.02) ,     g ,      1m008
2013/09/08 , 56543.871 ,         13.77 (0.03) ,     g ,      1m008
2013/09/14 , 56549.848 ,         13.92 (0.03) ,     g ,      1m008
2013/09/24 , 56559.771 ,         14.11 (0.02) ,     g ,      1m008
2013/09/26 , 56561.766 ,         14.14 (0.02) ,     g ,      1m008
2013/09/29 , 56564.737 ,         14.23 (0.02) ,     g ,      1m008
2013/10/06 , 56572.460 ,         14.35 (0.02) ,     g ,      1m010
2013/10/08 , 56574.456 ,         14.38 (0.02) ,     g ,      1m010
2013/10/13 , 56579.476 ,         14.50 (0.02) ,     g ,      1m010
2013/10/16 , 56581.639 ,         14.57 (0.02) ,     g ,      1m005
2013/10/18 , 56583.641 ,         14.63 (0.02) ,     g ,      1m004
2013/10/20 , 56585.609 ,         14.70 (0.01) ,     g ,      1m009
2013/10/20 , 56585.639 ,         14.70 (0.03) ,     g ,      1m005
2013/10/22 , 56588.342 ,         14.80 (0.01) ,     g ,      1m012
2013/10/25 , 56590.594 ,         14.96 (0.02) ,     g ,      1m008
2013/10/27 , 56592.622 ,         15.07 (0.02) ,     g ,      1m009
2013/10/29 , 56595.404 ,         15.41 (0.02) ,     g ,      1m010
2013/11/03 , 56599.720 ,         16.25 (0.03) ,     g ,      1m005
2013/11/04 , 56600.614 ,         16.43 (0.01) ,     g ,      1m005
2013/11/05 , 56602.335 ,         16.66 (0.02) ,     g ,      1m010
2013/11/07 , 56604.393 ,         16.85 (0.02) ,     g ,      1m012
2013/11/18 , 56614.538 ,         17.12 (0.02) ,     g ,      1m004
2013/11/18 , 56614.588 ,         17.15 (0.02) ,     g ,      1m004
2013/11/19 , 56615.680 ,         17.16 (0.03) ,     g ,      1m009
2013/11/20 , 56617.375 ,         17.14 (0.03) ,     g ,      1m010
2013/11/22 , 56618.654 ,         17.17 (0.03) ,     g ,      1m004
2013/11/22 , 56619.388 ,         17.14 (0.01) ,     g ,      1m012
2013/11/24 , 56621.342 ,         17.17 (0.01) ,     g ,      1m012
2013/11/28 , 56624.595 ,         17.26 (0.02) ,     g ,      1m009
2013/12/14 , 56640.602 ,         17.50 (0.03) ,     g ,      1m009
2013/07/27 , 56500.848 ,         13.01 (0.01) ,     r ,      1m004
2013/07/27 , 56500.903 ,         13.00 (0.02) ,     r ,      1m004
2013/07/28 , 56501.848 ,         12.82 (0.02) ,     r ,      1m004
2013/07/28 , 56501.903 ,         12.81 (0.03) ,     r ,      1m004
2013/07/29 , 56502.847 ,         12.71 (0.02) ,     r ,      1m009
2013/07/29 , 56502.848 ,         12.73 (0.02) ,     r ,      1m004
2013/08/02 , 56506.867 ,         12.51 (0.03) ,     r ,      1m004
2013/08/03 , 56507.909 ,         12.44 (0.03) ,     r ,      1m008
2013/08/04 , 56508.879 ,         12.43 (0.03) ,     r ,      1m008
2013/08/05 , 56509.861 ,         12.41 (0.03) ,     r ,      1m008
2013/08/05 , 56509.948 ,         12.40 (0.03) ,     r ,      1m008
2013/08/06 , 56510.857 ,         12.40 (0.04) ,     r ,      1m008
2013/08/09 , 56513.875 ,         12.39 (0.03) ,     r ,      1m008
2013/08/09 , 56513.905 ,         12.39 (0.03) ,     r ,      1m004
2013/08/10 , 56514.679 ,         12.39 (0.02) ,     r ,      1m010
2013/08/11 , 56515.679 ,         12.38 (0.02) ,     r ,      1m013
2013/08/12 , 56516.799 ,         12.41 (0.02) ,     r ,      1m004
2013/08/13 , 56517.821 ,         12.39 (0.01) ,     r ,      1m004
2013/08/14 , 56518.818 ,         12.39 (0.02) ,     r ,      1m004
2013/08/15 , 56519.798 ,         12.38 (0.03) ,     r ,      1m004
2013/08/15 , 56519.812 ,         12.42 (0.01) ,     r ,      1m008
2013/08/16 , 56520.790 ,         12.42 (0.02) ,     r ,      1m005
2013/08/17 , 56521.786 ,         12.39 (0.03) ,     r ,      1m004
2013/08/18 , 56522.867 ,         12.44 (0.02) ,     r ,      1m008
2013/08/20 , 56524.835 ,         12.49 (0.02) ,     r ,      1m005
2013/08/21 , 56525.822 ,         12.48 (0.02) ,     r ,      1m004
2013/08/24 , 56529.128 ,         12.57 (0.03) ,     r ,      1m011
2013/08/25 , 56529.811 ,         12.57 (0.02) ,     r ,      1m009
2013/08/29 , 56533.969 ,         12.68 (0.02) ,     r ,      1m008
2013/08/31 , 56535.888 ,         12.71 (0.03) ,     r ,      1m008
2013/09/01 , 56536.927 ,         12.75 (0.03) ,     r ,      1m008
2013/09/03 , 56538.897 ,         12.79 (0.04) ,     r ,      1m008
2013/09/06 , 56541.915 ,         12.84 (0.01) ,     r ,      1m008
2013/09/08 , 56543.873 ,         12.88 (0.03) ,     r ,      1m008
2013/09/14 , 56549.850 ,         12.98 (0.02) ,     r ,      1m008
2013/09/24 , 56559.773 ,         13.11 (0.03) ,     r ,      1m008
2013/09/26 , 56561.768 ,         13.13 (0.02) ,     r ,      1m008
2013/09/29 , 56564.739 ,         13.20 (0.03) ,     r ,      1m008
2013/10/06 , 56572.462 ,         13.29 (0.01) ,     r ,      1m010
2013/10/08 , 56574.459 ,         13.28 (0.02) ,     r ,      1m010
2013/10/13 , 56579.479 ,         13.41 (0.04) ,     r ,      1m010
2013/10/16 , 56581.641 ,         13.45 (0.02) ,     r ,      1m005
2013/10/18 , 56583.643 ,         13.50 (0.02) ,     r ,      1m004
2013/10/20 , 56585.641 ,         13.55 (0.04) ,     r ,      1m005
2013/10/22 , 56588.345 ,         13.66 (0.02) ,     r ,      1m012
2013/10/25 , 56590.597 ,         13.76 (0.02) ,     r ,      1m008
2013/10/27 , 56592.627 ,         13.85 (0.02) ,     r ,      1m009
2013/10/28 , 56593.570 ,         13.92 (0.02) ,     r ,      1m004
2013/10/29 , 56595.408 ,         14.10 (0.02) ,     r ,      1m010
2013/11/03 , 56599.725 ,         14.84 (0.02) ,     r ,      1m005
2013/11/04 , 56600.618 ,         15.00 (0.03) ,     r ,      1m005
2013/11/05 , 56602.339 ,         15.18 (0.02) ,     r ,      1m010
2013/11/07 , 56604.400 ,         15.37 (0.03) ,     r ,      1m012
2013/11/15 , 56611.649 ,         15.52 (0.02) ,     r ,      1m004
2013/11/18 , 56614.545 ,         15.61 (0.03) ,     r ,      1m004
2013/11/18 , 56614.595 ,         15.61 (0.03) ,     r ,      1m004
2013/11/19 , 56615.688 ,         15.57 (0.02) ,     r ,      1m009
2013/11/20 , 56617.382 ,         15.63 (0.01) ,     r ,      1m010
2013/11/22 , 56618.665 ,         15.52 (0.10) ,     r ,      1m004
2013/11/22 , 56619.396 ,         15.64 (0.02) ,     r ,      1m012
2013/11/24 , 56621.349 ,         15.68 (0.02) ,     r ,      1m012
2013/11/28 , 56624.604 ,         15.73 (0.03) ,     r ,      1m009
2013/11/29 , 56625.599 ,         15.76 (0.02) ,     r ,      1m005
2013/12/03 , 56629.977 ,         15.82 (0.03) ,     r ,      1m003
2013/12/14 , 56640.609 ,         15.96 (0.02) ,     r ,      1m009
2014/01/17 , 56674.927 ,         16.45 (0.07) ,     r ,      1m011
2013/07/27 , 56500.851 ,         13.25 (0.02) ,     i ,      1m004
2013/07/27 , 56500.905 ,         13.23 (0.03) ,     i ,      1m004
2013/07/28 , 56501.851 ,         13.05 (0.03) ,     i ,      1m004
2013/07/28 , 56501.905 ,         13.04 (0.04) ,     i ,      1m004
2013/07/29 , 56502.850 ,         12.92 (0.02) ,     i ,      1m009
2013/07/29 , 56502.851 ,         12.95 (0.03) ,     i ,      1m004
2013/08/02 , 56506.870 ,         12.71 (0.03) ,     i ,      1m004
2013/08/03 , 56507.911 ,         12.66 (0.04) ,     i ,      1m008
2013/08/04 , 56508.881 ,         12.64 (0.04) ,     i ,      1m008
2013/08/05 , 56509.949 ,         12.59 (0.05) ,     i ,      1m008
2013/08/06 , 56510.859 ,         12.62 (0.04) ,     i ,      1m008
2013/08/09 , 56513.877 ,         12.54 (0.05) ,     i ,      1m008
2013/08/09 , 56513.907 ,         12.56 (0.03) ,     i ,      1m004
2013/08/10 , 56514.680 ,         12.57 (0.03) ,     i ,      1m010
2013/08/11 , 56515.680 ,         12.55 (0.03) ,     i ,      1m013
2013/08/12 , 56516.801 ,         12.56 (0.03) ,     i ,      1m004
2013/08/13 , 56517.823 ,         12.56 (0.01) ,     i ,      1m004
2013/08/14 , 56518.820 ,         12.54 (0.03) ,     i ,      1m004
2013/08/15 , 56519.799 ,         12.52 (0.04) ,     i ,      1m004
2013/08/16 , 56520.792 ,         12.55 (0.04) ,     i ,      1m005
2013/08/17 , 56521.788 ,         12.54 (0.04) ,     i ,      1m004
2013/08/18 , 56522.869 ,         12.58 (0.03) ,     i ,      1m008
2013/08/20 , 56524.837 ,         12.59 (0.04) ,     i ,      1m005
2013/08/21 , 56525.824 ,         12.60 (0.02) ,     i ,      1m004
2013/08/22 , 56526.821 ,         12.62 (0.02) ,     i ,      1m009
2013/08/24 , 56529.130 ,         12.66 (0.03) ,     i ,      1m011
2013/08/25 , 56529.813 ,         12.67 (0.02) ,     i ,      1m009
2013/08/29 , 56533.971 ,         12.75 (0.03) ,     i ,      1m008
2013/08/31 , 56535.890 ,         12.80 (0.04) ,     i ,      1m008
2013/09/01 , 56536.929 ,         12.82 (0.03) ,     i ,      1m008
2013/09/03 , 56538.899 ,         12.86 (0.05) ,     i ,      1m008
2013/09/06 , 56541.916 ,         12.91 (0.02) ,     i ,      1m008
2013/09/08 , 56543.874 ,         12.93 (0.05) ,     i ,      1m008
2013/09/14 , 56549.852 ,         13.02 (0.05) ,     i ,      1m008
2013/09/24 , 56559.775 ,         13.16 (0.04) ,     i ,      1m008
2013/09/26 , 56561.769 ,         13.19 (0.03) ,     i ,      1m008
2013/09/29 , 56564.740 ,         13.25 (0.04) ,     i ,      1m008
2013/10/06 , 56572.464 ,         13.36 (0.02) ,     i ,      1m010
2013/10/08 , 56574.461 ,         13.36 (0.04) ,     i ,      1m010
2013/10/13 , 56579.481 ,         13.48 (0.03) ,     i ,      1m010
2013/10/16 , 56581.643 ,         13.53 (0.03) ,     i ,      1m005
2013/10/18 , 56583.649 ,         13.60 (0.02) ,     i ,      1m004
2013/10/20 , 56585.614 ,         13.64 (0.06) ,     i ,      1m009
2013/10/20 , 56585.643 ,         13.64 (0.05) ,     i ,      1m005
2013/10/22 , 56588.347 ,         13.75 (0.04) ,     i ,      1m012
2013/10/25 , 56590.598 ,         13.86 (0.04) ,     i ,      1m008
2013/10/27 , 56592.630 ,         13.94 (0.04) ,     i ,      1m009
2013/10/28 , 56593.573 ,         14.03 (0.04) ,     i ,      1m004
2013/10/29 , 56595.410 ,         14.23 (0.03) ,     i ,      1m010
2013/11/03 , 56599.728 ,         15.06 (0.05) ,     i ,      1m005
2013/11/04 , 56600.620 ,         15.24 (0.05) ,     i ,      1m005
2013/11/05 , 56602.342 ,         15.46 (0.03) ,     i ,      1m010
2013/11/07 , 56604.405 ,         15.58 (0.04) ,     i ,      1m012
2013/11/15 , 56611.654 ,         15.73 (0.04) ,     i ,      1m004
2013/11/18 , 56614.550 ,         15.84 (0.04) ,     i ,      1m004
2013/11/18 , 56614.600 ,         15.84 (0.04) ,     i ,      1m004
2013/11/19 , 56615.693 ,         15.84 (0.04) ,     i ,      1m009
2013/11/20 , 56617.387 ,         15.89 (0.03) ,     i ,      1m010
2013/11/22 , 56618.671 ,         15.92 (0.03) ,     i ,      1m004
2013/11/22 , 56619.401 ,         15.89 (0.04) ,     i ,      1m012
2013/11/24 , 56621.305 ,         15.94 (0.05) ,     i ,      1m013
2013/11/24 , 56621.354 ,         15.94 (0.04) ,     i ,      1m012
2013/11/28 , 56624.610 ,         16.00 (0.04) ,     i ,      1m009
2013/11/29 , 56625.604 ,         16.02 (0.04) ,     i ,      1m005
2013/12/03 , 56629.982 ,         16.09 (0.04) ,     i ,      1m003
2013/12/14 , 56640.615 ,         16.30 (0.03) ,     i ,      1m009
2014/01/17 , 56674.931 ,         16.84 (0.07) ,     i ,      1m011
2014/08/16 , 56885.872 ,         19.43 (0.11) ,     i ,        NTT
2013/07/27 , 56500.862 ,         13.40 (0.04) ,     z ,      1m004
2013/07/28 , 56501.862 ,         13.21 (0.04) ,     z ,      1m004
2013/07/29 , 56502.862 ,         13.10 (0.04) ,     z ,      1m009
2013/07/29 , 56502.862 ,         13.10 (0.04) ,     z ,      1m004
2013/08/03 , 56507.866 ,         12.79 (0.06) ,     z ,      1m008
2013/08/04 , 56508.870 ,         12.77 (0.07) ,     z ,      1m008
2013/08/05 , 56509.938 ,         12.77 (0.07) ,     z ,      1m008
2013/08/06 , 56510.873 ,         12.73 (0.06) ,     z ,      1m008
2013/08/09 , 56513.846 ,         12.68 (0.06) ,     z ,      1m008
2013/08/09 , 56513.882 ,         12.68 (0.06) ,     z ,      1m004
2013/08/10 , 56514.817 ,         12.67 (0.05) ,     z ,      1m009
2013/08/13 , 56517.824 ,         12.66 (0.06) ,     z ,      1m004
2013/08/14 , 56518.821 ,         12.67 (0.05) ,     z ,      1m004
2013/08/15 , 56519.801 ,         12.66 (0.06) ,     z ,      1m004
2013/08/16 , 56520.794 ,         12.68 (0.07) ,     z ,      1m005
2013/08/17 , 56521.790 ,         12.68 (0.07) ,     z ,      1m004
2013/08/18 , 56522.870 ,         12.69 (0.04) ,     z ,      1m008
2013/08/21 , 56525.825 ,         12.72 (0.04) ,     z ,      1m004
2013/08/22 , 56526.822 ,         12.74 (0.05) ,     z ,      1m009
2013/08/24 , 56529.131 ,         12.76 (0.05) ,     z ,      1m011
2013/08/25 , 56529.814 ,         12.76 (0.04) ,     z ,      1m009
2013/08/29 , 56533.972 ,         12.84 (0.04) ,     z ,      1m008
2013/08/31 , 56535.891 ,         12.88 (0.07) ,     z ,      1m008
2013/09/01 , 56536.930 ,         12.86 (0.07) ,     z ,      1m008
2013/09/03 , 56538.901 ,         12.89 (0.06) ,     z ,      1m008
2013/09/06 , 56541.918 ,         12.92 (0.05) ,     z ,      1m008
2013/09/08 , 56543.876 ,         12.95 (0.07) ,     z ,      1m008
2013/09/14 , 56549.854 ,         13.00 (0.06) ,     z ,      1m008
2013/09/24 , 56559.776 ,         13.10 (0.09) ,     z ,      1m008
2013/09/26 , 56561.771 ,         13.11 (0.04) ,     z ,      1m008
2013/09/29 , 56564.743 ,         13.16 (0.06) ,     z ,      1m008
2013/10/06 , 56572.467 ,         13.21 (0.07) ,     z ,      1m010
2013/10/08 , 56574.463 ,         13.24 (0.07) ,     z ,      1m010
2013/10/13 , 56579.484 ,         13.33 (0.07) ,     z ,      1m010
2013/10/16 , 56581.637 ,         13.38 (0.07) ,     z ,      1m005
2013/10/18 , 56583.644 ,         13.40 (0.05) ,     z ,      1m004
2013/10/20 , 56585.616 ,         13.47 (0.08) ,     z ,      1m009
2013/10/20 , 56585.646 ,         13.47 (0.06) ,     z ,      1m005
2013/10/22 , 56588.349 ,         13.55 (0.07) ,     z ,      1m012
2013/10/25 , 56590.601 ,         13.60 (0.05) ,     z ,      1m008
2013/10/27 , 56592.635 ,         13.69 (0.10) ,     z ,      1m009
2013/10/28 , 56593.577 ,         13.77 (0.10) ,     z ,      1m004
2013/10/29 , 56595.414 ,         13.88 (0.06) ,     z ,      1m010
2013/11/03 , 56599.731 ,         14.41 (0.08) ,     z ,      1m005
2013/11/04 , 56600.624 ,         14.59 (0.07) ,     z ,      1m005
2013/11/05 , 56602.345 ,         14.77 (0.07) ,     z ,      1m010
2013/11/07 , 56604.412 ,         14.86 (0.06) ,     z ,      1m012
2013/11/15 , 56611.662 ,         15.04 (0.06) ,     z ,      1m004
2013/11/18 , 56614.558 ,         15.15 (0.07) ,     z ,      1m004
2013/11/18 , 56614.608 ,         15.16 (0.07) ,     z ,      1m004
2013/11/19 , 56615.700 ,         15.12 (0.07) ,     z ,      1m009
2013/11/20 , 56617.397 ,         15.14 (0.09) ,     z ,      1m010
2013/11/22 , 56618.676 ,         14.65 (0.10) ,     z ,      1m004
2013/11/22 , 56619.409 ,         15.18 (0.06) ,     z ,      1m012
2013/11/24 , 56621.311 ,         15.21 (0.07) ,     z ,      1m013
2013/11/24 , 56621.362 ,         15.22 (0.07) ,     z ,      1m012
2013/11/28 , 56624.617 ,         15.20 (0.09) ,     z ,      1m009
2013/11/29 , 56625.612 ,         15.29 (0.06) ,     z ,      1m005
2013/12/03 , 56629.992 ,         15.34 (0.09) ,     z ,      1m003
2013/12/14 , 56640.622 ,         15.54 (0.07) ,     z ,      1m009
2013/08/03 , 56507.753 ,         12.15 (0.04) ,     J ,        REM
2013/08/06 , 56510.760 ,         12.08 (0.02) ,     J ,        REM
2013/08/16 , 56520.850 ,         11.96 (0.03) ,     J ,        REM
2013/08/17 , 56521.774 ,         11.90 (0.08) ,     J ,   NTT+SOFI
2013/08/29 , 56533.700 ,         12.00 (0.07) ,     J ,   NTT+SOFI
2013/09/05 , 56540.751 ,         12.05 (0.03) ,     J ,        REM
2013/09/07 , 56542.918 ,         12.09 (0.08) ,     J ,        REM
2013/09/17 , 56552.719 ,         12.13 (0.04) ,     J ,        REM
2013/09/19 , 56554.733 ,         12.20 (0.07) ,     J ,        REM
2013/09/23 , 56558.727 ,         12.22 (0.03) ,     J ,        REM
2013/09/25 , 56560.824 ,         12.23 (0.03) ,     J ,        REM
2013/10/02 , 56567.769 ,         12.33 (0.02) ,     J ,        REM
2013/10/04 , 56569.728 ,         12.37 (0.06) ,     J ,   NTT+SOFI
2013/10/04 , 56569.736 ,         12.43 (0.11) ,     J ,   NTT+SOFI
2013/10/04 , 56569.775 ,         12.35 (0.03) ,     J ,        REM
2013/10/06 , 56571.780 ,         12.37 (0.02) ,     J ,        REM
2013/10/18 , 56583.663 ,         12.61 (0.02) ,     J ,        REM
2013/10/21 , 56586.725 ,         12.70 (0.01) ,     J ,        REM
2013/10/24 , 56589.772 ,         12.80 (0.05) ,     J ,        REM
2013/10/27 , 56592.784 ,         12.96 (0.02) ,     J ,        REM
2013/11/03 , 56599.557 ,         13.95 (0.06) ,     J ,   NTT+SOFI
2013/11/03 , 56599.616 ,         13.98 (0.03) ,     J ,        REM
2013/11/06 , 56602.622 ,         14.38 (0.04) ,     J ,        REM
2013/11/09 , 56605.639 ,         14.55 (0.04) ,     J ,        REM
2013/11/12 , 56608.721 ,         14.74 (0.04) ,     J ,        REM
2013/11/13 , 56609.745 ,         14.57 (0.09) ,     J ,   NTT+SOFI
2013/11/19 , 56615.731 ,         14.94 (0.05) ,     J ,        REM
2013/11/22 , 56618.749 ,         14.93 (0.06) ,     J ,        REM
2013/11/26 , 56622.562 ,         14.92 (0.05) ,     J ,        REM
2013/12/10 , 56636.542 ,         15.06 (0.12) ,     J ,   NTT+SOFI
2013/12/15 , 56641.572 ,         15.33 (0.07) ,     J ,        REM
2013/12/18 , 56644.615 ,         15.32 (0.07) ,     J ,        REM
2013/12/21 , 56647.619 ,         15.37 (0.09) ,     J ,        REM
2013/12/24 , 56650.640 ,         15.58 (0.11) ,     J ,        REM
2013/12/30 , 56656.637 ,         15.63 (0.14) ,     J ,        REM
2014/01/01 , 56658.573 ,         15.83 (0.17) ,     J ,        REM
2014/01/04 , 56661.573 ,         15.66 (0.12) ,     J ,        REM
2014/01/10 , 56667.589 ,         15.95 (0.15) ,     J ,        REM
2013/08/03 , 56507.755 ,         12.12 (0.07) ,     H ,        REM
2013/08/06 , 56510.762 ,         12.00 (0.07) ,     H ,        REM
2013/08/16 , 56520.852 ,         11.80 (0.02) ,     H ,        REM
2013/08/17 , 56521.776 ,         11.68 (0.08) ,     H ,   NTT+SOFI
2013/08/29 , 56533.702 ,         11.80 (0.11) ,     H ,   NTT+SOFI
2013/09/05 , 56540.753 ,         11.94 (0.03) ,     H ,        REM
2013/09/07 , 56542.919 ,         11.94 (0.06) ,     H ,        REM
2013/09/17 , 56552.721 ,         11.94 (0.04) ,     H ,        REM
2013/09/19 , 56554.734 ,         12.09 (0.06) ,     H ,        REM
2013/09/23 , 56558.729 ,         11.98 (0.05) ,     H ,        REM
2013/09/25 , 56560.826 ,         12.01 (0.04) ,     H ,        REM
2013/10/02 , 56567.771 ,         12.05 (0.05) ,     H ,        REM
2013/10/04 , 56569.730 ,         12.08 (0.10) ,     H ,   NTT+SOFI
2013/10/04 , 56569.777 ,         12.09 (0.05) ,     H ,        REM
2013/10/06 , 56571.782 ,         12.16 (0.03) ,     H ,        REM
2013/10/18 , 56583.665 ,         12.46 (0.09) ,     H ,        REM
2013/10/21 , 56586.727 ,         12.53 (0.04) ,     H ,        REM
2013/10/24 , 56589.774 ,         12.71 (0.04) ,     H ,        REM
2013/10/27 , 56592.786 ,         12.88 (0.04) ,     H ,        REM
2013/11/03 , 56599.559 ,         13.64 (0.09) ,     H ,   NTT+SOFI
2013/11/03 , 56599.617 ,         13.61 (0.05) ,     H ,        REM
2013/11/06 , 56602.624 ,         14.32 (0.11) ,     H ,        REM
2013/11/09 , 56605.641 ,         14.15 (0.09) ,     H ,        REM
2013/11/12 , 56608.723 ,         14.22 (0.11) ,     H ,        REM
2013/11/13 , 56609.747 ,         14.25 (0.09) ,     H ,   NTT+SOFI
2013/11/22 , 56618.750 ,         14.71 (0.11) ,     H ,        REM
2013/11/26 , 56622.564 ,         14.66 (0.08) ,     H ,        REM
2013/12/10 , 56636.535 ,         14.59 (0.08) ,     H ,   NTT+SOFI
2013/12/15 , 56641.573 ,         15.07 (0.15) ,     H ,        REM
2013/12/18 , 56644.617 ,         14.99 (0.10) ,     H ,        REM
2013/12/30 , 56656.638 ,         15.26 (0.18) ,     H ,        REM
2014/01/01 , 56658.574 ,         15.32 (0.18) ,     H ,        REM
2014/01/04 , 56661.575 ,         15.68 (0.31) ,     H ,        REM
2014/01/10 , 56667.591 ,         16.03 (0.30) ,     H ,        REM
2013/08/03 , 56507.744 ,         11.99 (0.04) ,    Ks ,        REM
2013/08/06 , 56510.745 ,         11.89 (0.04) ,    Ks ,        REM
2013/08/16 , 56520.905 ,         11.78 (0.12) ,    Ks ,        REM
2013/08/17 , 56521.778 ,         11.61 (0.08) ,    Ks ,   NTT+SOFI
2013/08/29 , 56533.704 ,         11.75 (0.08) ,    Ks ,   NTT+SOFI
2013/09/17 , 56552.721 ,         11.78 (0.03) ,    Ks ,        REM
2013/09/19 , 56554.733 ,         11.89 (0.05) ,    Ks ,        REM
2013/09/23 , 56558.730 ,         11.79 (0.09) ,    Ks ,        REM
2013/09/25 , 56560.824 ,         11.90 (0.08) ,    Ks ,        REM
2013/10/04 , 56569.732 ,         12.07 (0.09) ,    Ks ,   NTT+SOFI
2013/10/04 , 56569.777 ,         11.85 (0.11) ,    Ks ,        REM
2013/10/06 , 56571.783 ,         11.93 (0.12) ,    Ks ,        REM
2013/10/18 , 56583.654 ,         12.22 (0.10) ,    Ks ,        REM
2013/10/21 , 56586.717 ,         12.25 (0.08) ,    Ks ,        REM
2013/10/24 , 56589.763 ,         12.81 (0.12) ,    Ks ,        REM
2013/10/27 , 56592.774 ,         12.61 (0.08) ,    Ks ,        REM
2013/11/03 , 56599.561 ,         13.61 (0.06) ,    Ks ,   NTT+SOFI
2013/11/03 , 56599.607 ,         14.07 (0.17) ,    Ks ,        REM
2013/11/06 , 56602.608 ,         14.24 (0.14) ,    Ks ,        REM
2013/11/13 , 56609.749 ,         14.14 (0.10) ,    Ks ,   NTT+SOFI
2013/12/10 , 56636.528 ,         14.29 (0.11) ,    Ks ,   NTT+SOFI
#1m008: LCOGT 1m at McDonald observatory, USA; 1m010, 1m012, 1m013: LCOGT 1m at Sutherland, South Africa; 1m004, 1m005, 1m009: LCOGT 1m at Cerro Tololo, Chile; 1m003, 1m011: LCOGT 1m at Siding Spring, Australia; LOT: 1m at the Lulin Observatory in Taiwan; AFOSC: INAF 1.82 m + AFOSC; SBIG: INAF Schmidt 67/92 cm + SBIG; NTT: NTT + EFOSC2; VLT: X-shooter Acquisition and Guiding camera; REM: Rapid Eye Mount telescope; NTT+SOFI: NTT + SOFI
