GRB,Swift Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90,BAT Fluence (15-150 keV),BAT Photon Index (15-150 keV) (PL = simple power-law),Swift Comments,Redshift,Host Galaxy
120913A,533568,146.4,26.959,30.1,8.7,2.18,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 22:34 UT on 2012 September 27.",-,-
120911A,533268,357.966,63.09,17.8,11.0,1.71,"Due to an observing constraint, Swift did not slew until T0+51.6 minutes.|UVOT: no detection",-,-
120907A,532871,74.736,-9.323,16.9,6.7,1.73,-,0.97,-
120819A,531428,235.887,-7.304,71.0,14.0,1.49,UVOT: no detection,-,-
120817A,531267,250.692,-38.377,28.2,6.9,1.97,"Due to an observing constraint, Swift did not slew until T0+50.1 minutes.|UVOT: no detection",-,-
120816A,531223,282.133,-6.981,7.6,4.3,2.54,-,-,-
120815A,531003,273.976,-52.125,9.7,4.9,2.29,"Due to an observing constraint, Swift did not slew until T0+40.6 minutes.",2.358,-
120811C,530689,199.69,62.297,26.8,30.0,-,-,2.671,-
120811A,530581,257.184,-22.735,166.0,11.0,1.95,"While the BAT lightcurve and spectral results are consistant with a GRB origin for this trigger, given that the galactic coordinates are (lon,lat)=(0.6,10.3) deg, we cannot rule out a galactic source origin.|XRT: The fact that the XRT source is fading suggests that Swift trigger 530581 is most likely a GRB.|UVOT: no detection",-,-
120807A,530267,241.273,-47.455,20.0,2.9,1.81,UVOT: no detection,-,-
120805A,530031,216.536,5.853,48.0,8.2,1.2,UVOT: no detection,-,-
120803B,529606,314.223,53.298,37.5,25.0,-,-,-,-
120803A,529582,269.531,-6.733,10.0,3.0,0.86,-,-,-
120802A,529486,44.833,13.762,50.0,19.0,-,-,3.796,-
120729A,529095,13.078,49.936,71.5,24.0,1.62,-,0.8,-
120728A,529021,137.085,-54.437,22.06,24.0,1.79,UVOT: no detection,-,-
120724A,528443,245.193,3.535,72.8,6.8,-,-,1.48,AZT-22: possible host
120722A,528195,230.489,13.249,42.4,12.0,1.9,UVOT: no detection,0.9586,-
120714B,526642,355.412,-46.196,159.0,12.0,1.52,-,0.3984,-
120714A,526593,167.975,-30.625,16.2,8.2,1.62,"Due to an observing constraint, Swift did not slew until T0+51 minutes.|UVOT: no detection",-,-
120712A,526351,169.598,-20.051,14.7,18.0,1.36,-,4.0,-
120711B,526270,331.71,59.996,60.0,5.6,1.75,"Contrary to our GCN 13431, we now think that this trigger is very likely GRB, and not a new Galactic source.",-,-
120703A,525671,339.353,-29.726,25.2,35.0,1.51,-,-,-
120701A,525477,80.338,-58.531,13.8,14.0,1.05,There was no initial set of GCN Notices nor a rapid-response circular because of the power outage at GSFC when this burst occurred.,-,-
120624B,525068,170.886,8.933,192.0,283.0,1.17,There were no real-time notices for this event because it occurred during a TDRSS outage. There was no automated slew to this BAT trigger because of a Moon constraint.|Further discussion: GCN 13389|XRT: 2 possible candidates|UVOT: no detection,-,-
120612A,524128,126.723,-17.598,90.0,13.0,1.36,UVOT: no detection,-,-
120521C,522656,214.288,42.144,26.7,11.0,1.73,UVOT: no detection,0.0,-
120521B,522586,197.016,-52.742,31.4,15.0,0.97,UVOT: no detection,-,-
120514A,522197,283.002,-4.258,164.4,28.0,1.62,"This source is 2 degrees from the Galactic plane. Although the BAT lightcurve and energy distribution is typical for a GRB, the possibility of this being a Galactic source will have to be assessed from further observations.|UVOT: no detection",-,-
120422A,520658,136.915,13.974,5.35,2.3,1.19,-,0.28,-
120404A,519380,235.002,12.883,38.7,16.0,1.85,-,2.876,-
120403B,519256,54.302,-89.029,7.3,2.1,1.79,"Because of an observing constraint, the slew to the burst was delayed by 12.9 minutes.|UVOT: no detection",-,-
120328A,518792,241.607,-39.322,24.2,4.7,1.87,-,-,-
120327A,518731,246.854,-29.415,62.9,36.0,1.52,-,2.81,-
120326A,518626,273.906,69.248,69.6,26.0,-,-,1.798,-
120324A,518507,291.081,24.14,118.0,101.0,1.34,UVOT: no detection,-,-
120320A,518200,212.517,8.682,25.74,5.9,-,-,-,-
120312A,517566,251.812,23.881,14.2,5.7,1.72,UVOT: no detection,-,-
120311B,517489,258.551,-13.068,28.2,10.0,1.96,"Due to an observing constraint, Swift did not slew until T0+49.0 minutes.|UVOT: no detection",-,-
120308A,517234,219.123,79.674,60.6,12.0,1.71,-,-,-
120224A,515976,40.937,-17.779,8.13,2.4,2.25,UVOT: no detection,-,-
120219A,515375,129.862,51.006,90.5,5.4,-,UVOT: no detection,-,-
120218A,515277,319.7641,-25.4626,27.5,53.0,1.75,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 19:14 UT on 2012 March 20.",-,-
120215A,515015,30.057,8.79,26.5,4.0,1.62,UVOT: no detection,-,-
120213A,514767,300.987,65.413,48.9,19.0,2.37,UVOT: no detection,-,-
120212A,514709,43.086,-18.043,5.52,5.1,2.05,"Due to an observing constraint, Swift did not slew until T0+44.6 minutes.",-,-
120211A,514586,87.781,-24.795,61.7,8.1,1.5,UVOT: no detection,-,-
120121A,512164,249.363,-23.963,26.1,11.0,1.23,UVOT: no detection,-,-
120119A,512035,120.029,-9.076,253.8,170.0,1.38,-,1.728,-
120118B,512003,124.862,-7.178,23.26,18.0,2.08,UVOT: no detection,2.943,I = 23.8 (Keck I)
120116A,511866,16.24,33.927,41.0,29.0,-,UVOT: no detection,-,-
120106A,511235,66.129,64.05,61.6,9.7,1.53,-,-,-
120102A,510922,276.224,24.713,38.7,43.0,1.59,-,-,-
111229A,510736,76.561,-84.687,25.4,3.4,1.85,-,1.3805,-
111228A,510649,150.063,18.284,101.2,85.0,2.27,-,0.714,-
111225A,510341,13.158,51.573,106.8,13.0,1.7,-,-,-
111215A,509717,349.582,32.44,796.0,45.0,1.7,-,-,-
111204A,509018,336.651,-31.414,48.0,4.7,1.83,-,-,-
111129A,508712,307.415,-52.722,7.6,1.8,2.56,-,-,-
111123A,508319,154.845,-20.639,290.0,73.0,1.68,-,3.1516,"g=25.83, I = 23.55 (Keck I), VLT"
111121A,508161,154.746,-46.67,119.0,22.0,1.66,UVOT: no detection,-,-
111109A,507342,118.248,-41.588,13.0,2.4,1.86,"Due to an observing constraint, Swift did not slew until T0+49.2 minutes.",-,-
111107A,507185,129.487,-66.52,26.6,8.8,1.49,-,2.893,-
111103B,506903,265.691,1.605,167.0,80.0,1.41,-,-,-
111103A,506902,327.111,-10.532,11.6,14.0,1.3,"Due to a Moon observing constraint, Swift cannot slew to the BAT position until 20:12 UT on 2011 November 05.",-,-
111029A,506519,44.785,57.101,7.6,3.9,-,UVOT: no detection,-,-
111022B,506074,108.927,49.663,79.1,9.0,1.59,-,-,-
111022A,506070,275.871,-23.666,24.7,20.0,-,"Swift entered the SAA shortly after detecting this burst, so there are no prompt UVOT data products for this burst.|UVOT: no detection",-,-
111018A,505801,271.482,-3.88,36.0,4.0,2.18,UVOT: no detection,-,-
111016A,505646,153.826,27.474,550.0,40.0,1.95,-,-,-
111008A,505054,60.439,-32.708,63.46,53.0,1.86,-,5.0,-
111005A,504779,223.315,-19.722,26.0,6.2,2.03,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 18:03 UT on 2011 December 25. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
110928A,504215,257.745,36.547,26.7,6.9,1.09,"Due to an observing constraint, Swift will not slew until T0+52 minutes.|UVOT: no detection",-,-
110921A,503652,294.094,36.355,48.0,24.0,1.57,-,-,-
110915A,503219,310.83,-0.713,78.76,57.0,-,UVOT: no detection|Konus-Wind/BAT joint analysis: GCN 12358,-,-
110827A,501520,164.059,53.817,8.5,1.8,1.24,Because of the Sun constraint Swift did not observe the burst with its narrow field instruments. No further observations of this burst are planned,-,-
110820A,501095,343.203,70.298,256.0,8.2,1.92,UVOT: no detection,-,-
110818A,500914,317.373,-63.981,103.0,40.0,1.58,UVOT: no detection,3.36,-
110808A,458918,57.322,-44.177,48.0,3.3,2.32,-,1.348,-
110801A,458521,89.415,80.958,385.0,47.0,1.84,-,1.858,-
110731A,458448,280.513,-28.536,38.8,60.0,1.15,-,2.83,-
110726A,458059,286.713,56.07,5.2,2.2,-,-,1.036,-
110719A,457553,24.57,34.578,41.0,18.0,1.63,-,-,-
110715A,457330,237.665,-46.237,13.0,118.0,-,-,0.82,-
110709B,456967|456969,164.668,-23.47,55.6,94.0,1.29,"BAT: detected renewed activity at T+11 min (trigger 456969). RA: 164.655, Dec: -23.456. See GCN 12144 for details.|BATSS: burst detection from Swift-BAT slew data (GCN 12143)|UVOT: no detection",-,-
110709A,456939,238.895,40.918,44.7,100.0,1.24,UVOT: no detection,-,-
110625A,456073,286.751,6.755,44.5,280.0,1.44,-,-,-
110610A,455155,308.205,74.827,46.4,49.0,1.51,"UVOT: no detection, due to a bright star in the field of view, UVOT products were delayed.",-,-
110530A,454473,282.045,61.953,19.6,3.3,2.06,-,-,Possible host (Zeiss-2000)
110521A,453788,120.132,45.818,13.8,4.4,0.9,UVOT: no detection,-,-
110520A,453747,134.363,56.418,15.7,11.0,1.13,UVOT: no detection,-,-
110519A,453628,261.638,-23.426,27.2,40.0,2.09,"Due to a Moon observing constraint, Swift cannot slew to the BAT position until 23:19 UT on 2011 May 20. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
110503A,452685,132.799,52.211,10.0,100.0,-,-,1.613,-
110422A,451901,112.057,75.1,25.9,410.0,-,-,1.77,-
110420A,451757,2.164,-37.877,11.8,59.0,2.3,-,-,-
110414A,451343,97.876,24.349,152.0,35.0,1.7,UVOT: no detection,-,-
110412A,451191,133.491,13.488,23.4,18.0,1.54,"Due to a Moon observing constraint, Swift cannot slew to the BAT position until 15:08 UT on 2011 April 14. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
110411A,451165,291.427,67.706,80.3,33.0,1.51,UVOT: no detection,-,-
110407A,450884,186.022,15.726,145.0,17.0,-,UVOT: no detection,-,-
110402A,450545,197.432,61.247,60.9,34.0,1.59,-,-,-
110319B,Ground Analysis,326.088,-56.774,14.5,10.0,1.39,UVOT: no detection,-,-
110319A,449578,356.51,-66.008,19.3,14.0,-,-,-,-
110318A,449542,338.292,-15.278,16.0,49.0,-,"Due to a Sun observing constraint, Swift cannot slew to the BAT position until 05:00 UT on 2011 April 11. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
110315A,449399,279.205,17.537,77.0,41.0,1.77,-,-,-
110312A,449074,157.5,-5.259,28.7,8.2,2.32,UVOT: no detection,-,-
110305A,448229,260.877,-15.81,12.0,8.0,1.62,UVOT: no detection,-,-
110223B,446677,150.34,-68.329,54.0,6.1,1.65,-,-,-
110223A,446674,345.386,87.586,7.0,1.6,1.7,-,-,-
110213A,445414,42.978,49.278,48.0,59.0,1.83,-,1.46,-
110210A,445141,13.108,7.778,233.0,9.6,1.73,-,-,-
110208A,445038,22.487,-20.561,37.4,2.7,2.08,UVOT: no detection,-,-
110207A,444912,12.54,-10.79,80.3,16.0,1.3,"Due to a Moon observing constraint, Swift could not slew to the BAT position until 13:20 UT on 2011 February 08.|XRT: Due to the proximity of the GRB to the Sun, no further observations are planned.",-,-
110205A,444643,164.603,67.533,257.0,170.0,1.8,-,1.98,-
110201A,444230,137.489,88.61,13.0,7.0,1.09,UVOT: no detection,-,-
110128A,443861,193.871,28.108,30.7,7.2,1.31,-,2.339,-
110119A,442978,348.589,5.982,208.0,70.0,1.44,-,-,-
110106B,441676,134.155,47.005,24.8,20.0,1.76,-,-,-
110102A,441454,245.877,7.617,264.0,165.0,1.6,-,-,-
101225A,441015,0.2037,44.5739,1088.0,19.0,1.82,-,0.0,"R = 24.1 (NOT, possible host)"
101219B,440635,12.259,-34.556,34.0,21.0,1.56,-,0.5519,UVW2 = 23.4 (Swift-UVOT: likely host)
101213A,440285,241.297,21.905,135.0,50.0,1.53,UVOT: no detection,-,-
101117B,438675,172.991,-72.651,5.2,11.0,1.5,-,-,-
101114A,438392|Ground Analysis,303.193,14.029,10.0,8.0,1.29,Burst found during ground analysis.|UVOT: no detection,-,-
101030A,437408,166.39,-16.389,92.0,20.0,1.82,UVOT: no detection,-,-
101024A,437016,66.465,-77.261,18.7,15.0,-,-,-,-
101023A,436981,317.949,-65.389,80.8,270.0,-,-,-,-
101020A,436737,189.607,23.129,175.0,26.0,2.04,"Due to an Sun observing constraint, Swift cannot slew to the BAT position until 17:41 UT on 2010 November 02. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
101017A,436429,291.377,-35.141,70.0,180.0,1.45,-,-,-
101011A,436094,48.274,-65.99,71.5,14.0,1.24,-,-,-
101008A,435903,328.882,37.06,104.0,11.0,1.59,"Due to an observing constraint, Swift did not slew until T0+50.8 minutes.|UVOT: no detection",-,-
100924A,434843,0.672,7.004,96.0,83.0,1.53,"Due to an Moon observing constraint, Swift cannot slew to the BAT position until 13:21 UT on 2010 September 25. There will thus be no XRT or UVOT data for this trigger before this time.",-,-
100917A,434360,289.25,-17.12,66.0,8.6,1.67,"Due to an observing constraint, Swift cannot slew to the BAT position. There will thus be no XRT or UVOT data for this trigger. This trigger will be in moon constraint until approximately 06:30 UT on the 19th of September.",-,-
100915A,434178,315.664,65.676,200.0,15.0,1.5,UVOT: no detection,-,-
100906A,433509,28.697,55.634,114.4,120.0,1.78,-,1.727,-
100904A,433273,172.907,-16.185,31.3,13.0,1.67,"Due to the proximity of the burst to the Sun, Swift cannot slew to the BAT position. The burst does not become observable by Swift until November 7th; there will thus be no XRT or UVOT data for this trigger.",-,-
100902A,433160,48.626,30.97,428.8,32.0,1.98,UVOT: no detection,4.5,-
100901A,433065,27.252,22.751,439.0,21.0,1.52,-,1.408,-
100823A,432420,20.706,5.848,16.9,4.1,2.19,-,-,-
100814A,431605,22.479,-17.99,174.5,90.0,1.47,UVOT: Interesting optical/UV lightcurve see GCN 11107 for details.,1.44,-
100807A,431128,55.283,67.665,7.9,3.4,2.32,UVOT: no detection,-,-
100805A,430957,299.846,52.618,15.0,5.1,1.76,-,-,-
100802A,430603,2.482,47.752,487.0,36.0,1.85,-,-,-
100728B,430172,44.051,0.296,12.1,17.0,1.55,UVOT: The non-detection in the UV filters suggests a photometric redshift of  z~2.8,2.106,-
100728A,430151,88.753,-15.259,198.5,380.0,1.18,UVOT: no detection,1.567,r' = 25.0 +/- 0.2 (GROND)
100727A,430094,154.187,-21.417,84.0,12.0,1.81,UVOT: no detection,-,-
100725B,429969,290.029,76.955,200.0,68.0,1.89,UVOT: no detection,-,-
100725A,429954,166.468,-26.667,141.0,20.0,1.23,UVOT: no detection,-,-
100719A,429357,112.319,-5.857,36.0,5.3,1.69,"The source will remain in Sun constraint until August 27, and therefore there will be no XRT or UVOT observations.|XRT: no detection|UVOT: no detection",-,-
100704A,426722,133.639,-24.202,197.5,60.0,1.73,UVOT: no detection,3.6,-
100621A,425151,315.309,-51.102,63.6,210.0,1.9,-,0.542,-
100619A,424998,84.618,-27.012,97.5,45.0,1.83,UVOT: no detection,-,-
100615A,424733,177.208,-19.483,39.0,50.0,1.87,UVOT: no detection,1.398,"HST, VLT"
100614A,424716,263.534,49.232,225.0,27.0,1.88,UVOT: no detection,-,-
100606A,424031,350.617,-66.234,480.0,64.0,1.35,-,-,"r~25 (Gemini-South), g' and r' detections (MPI/ESO)"
100526B,423184,0.777,-37.913,64.0,4.7,1.47,"Due to an observing constraint, Swift did not slew until T0+54 minutes.",-,-
100526A,423181,230.792,25.623,102.0,25.0,1.83,UVOT: no detection,-,Gemini-North
100522A,422783,6.99,9.397,35.3,21.0,1.89,UVOT: no detection,-,-
100514A,421962,328.821,29.17,26.2,-,-,UVOT: Marginal (2.6-sigma) detection of the afterglow.,-,-
100513A,421814,169.606,3.617,84.0,14.0,1.62,UVOT: no detection,4.772,-
100508A,421386,76.263,-20.744,52.0,7.0,1.23,-,-,-
100504A,421124,255.575,-35.59,97.3,24.0,1.76,-,-,-
100425A,420398,299.161,-26.463,37.0,4.7,2.42,UVOT: no detection,1.755,-
100424A,420367,209.453,1.512,104.0,15.0,1.83,UVOT: no detection,2.465,"g = 26 (AB), I = 24.4 (Keck I)"
100420A,419932,296.09,55.755,48.0,5.7,1.17,UVOT: no detection,-,-
100418A,419797,256.358,11.457,7.0,3.4,2.16,UVOT: possible evidence for a supernova,0.6235,"g,r,and i bands (SDSS)"
100413A,419404,266.223,15.835,191.0,62.0,1.25,UVOT: no detection,3.9,-
100324A,Ground Analysis,98.612,-9.735,6.0,0.7,2.4,"Because the burst was not triggered onboard, there are no automated data products.  A Swift TOO has been requested.",-,-
100316C,416115,32.309,-67.992,9.3,1.8,1.58,-,-,-
100316A,416076,251.953,71.819,7.0,8.2,1.46,"Due to an observing constraint, Swift will did not slew until T0+51.8 minutes.|UVOT: no detection",-,-
100305A,414905,168.373,42.381,69.7,15.0,1.27,-,-,-
100302A,414592,195.504,74.568,17.9,3.1,1.72,-,4.813,-
100219A,412982,154.202,-12.555,18.8,3.7,1.34,-,4.5,Palomar: potential (lowish redshift) host candidate.|UVOT: The fading observed suggests that this is the afterglow of GRB 100219A superimposed on the host galaxy candidate (GCN 10433).
100213B,412220,124.32,43.464,48.0,-,-,UVOT: no detection,-,-
100212A,412081,356.445,49.492,136.0,9.1,2.2,UVOT: no detection,-,-
100205A,411248,141.385,31.74,26.0,4.0,1.6,-,-,-
100119A,383063,299.308,-53.149,23.8,140.0,1.01,"Due to an observing constraint, Swift cannot slew to the BAT position. There will thus be no XRT or UVOT data for this trigger. No observations with XRT or UVOT will be possible for approximately the next 26 days.",-,-
100111A,382399,247.029,15.539,12.9,6.7,1.69,-,-,-
091221A,380311,55.798,23.243,68.5,57.0,1.59,-,-,-
091208B,378559,29.411,16.881,14.9,33.0,1.74,-,1.063,-
091208A,378554,0.295,65.68,29.1,15.0,0.81,"Due to an observing constraint, Swift will not slew until T0+49.7 minutes.|XRT: no detection|UVOT: no detection",-,-
091130B,377487,203.149,34.086,112.5,13.0,2.15,UVOT: no detection,-,-
091127A,377179,36.581,-18.948,7.1,90.0,2.05,"Due to an observing constraint, Swift will not slew until T0+50 minutes.",0.49,-
091112A,375659,257.751,-36.729,17.0,21.0,1.03,"Due to an observing constraint, Swift cannot slew to the BAT position. There will thus be no XRT or UVOT data for this trigger.",-,-
091109A,375246,309.252,-44.177,48.0,16.0,1.31,-,3.5,-
091104A,374875,208.723,47.391,99.3,7.7,1.74,-,-,-
091102A,374598,72.622,-72.527,6.6,5.2,1.08,"Due to an observing constraint, Swift will not slew until T0+13.6 minutes. There will be no XRT or UVOT data until this time.",-,-
091029A,374210,60.166,-55.954,39.2,24.0,-,-,2.752,-
091026A,373871,276.657,-86.113,41.6,18.0,1.53,UVOT: no detection,-,-
091024A,373674,339.24,56.885,109.8,61.0,1.2,"Due to an observing constraint, Swift will not slew until T0+50.0 minutes. There will be no XRT or UVOT data until this time.|UVOT: no detection",1.092,-
091020A,373458,175.727,50.977,34.6,37.0,1.53,-,1.71,-
090929B,371050,117.712,-0.645,360.0,59.0,1.85,UVOT: possible detection,-,-
090929A,Fermi,56.494,-5.952,7.0,1.69,0.96,"Fermi: GCN 9962|Burst occurred during a preplanned Swift slew maneuver.  A strong source was found in a mosaic of images from BAT event data, which is often collected during slews. Reported position is the BAT position, not the Fermi position.|XRT: no detection|UVOT: no detection",-,-
090926B,370791,46.31,-38.997,109.7,73.0,-,-,1.24,-
090916A,362818,126.582,25.941,63.4,9.5,1.42,"Due to an observing constraint, Swift cannot immediately slew to the BAT position.  There will thus be no XRT or UVOT data for this  trigger until later today.",-,-
090915A,Ground Analysis,237.99,15.48,8.0,5.0,1.0,This was probably the same event as Fermi-GBM trigger 274721737. A Swift TOO has been requested and approved. The narrow-field instruments will observe the location approximately 13 hours after the burst.,-,-
090912A,362633,188.046,61.475,144.0,45.0,-,UVOT: no detection,-,-
090904B,361831,264.194,-25.219,47.0,110.0,1.59,UVOT: not detection,-,-
090904A,361830,100.855,50.235,122.0,30.0,2.01,UVOT: no detection,-,-
090814A,359951,239.613,25.586,80.0,13.0,1.81,-,0.696,-
090813A,359884,225.065,88.571,7.1,13.0,1.69,UVOT: no detection,-,-
090812A,359711,353.2,-10.609,66.7,58.0,1.24,-,2.452,-
090809A,359530,328.665,-0.083,5.4,3.4,1.34,-,2.737,-
090807A,359378,273.741,10.279,140.8,22.0,2.25,UVOT: no detection,-,-
090728A,358574,29.644,41.632,59.0,10.0,2.05,UVOT: no detection,-,-
090727A,358520,315.917,64.937,302.0,14.0,1.24,UVOT: no detection,-,-
090726A,358422,248.681,72.866,67.0,8.6,2.25,Swift will not slew until T0+48.9 minutes (Earth-limb constraint). There will be no XRT or UVOT data until this time,2.71,-
090715B,357512,251.337,44.837,266.0,57.0,1.57,-,3.0,-
090715A,357498,152.102,10.006,63.0,9.8,1.28,"Due to current problems with the Solid State Recorder (GCN 9664), automatic slewing to sources is disabled.  However, this burst location is also in Sun constraint and will not come out of constraint until October 9, 2009.  There will thus be no XRT or UVOT data for this trigger.",-,-
090712A,357072,70.097,22.525,145.0,40.0,1.33,"Because of the Sun constraint, the BAT position is unobservable by Swift until 21st July 2009. There will thus be no prompt XRT or UVOT data for this trigger.",-,-
090709B,356912,93.522,64.081,27.2,15.0,1.51,"Due to a Sun constraint, Swift cannot slew to the BAT position until  18th July 2009. There will thus be no immediate XRT or UVOT data for this trigger.",-,-
090709A,356890,289.944,60.728,89.0,257.0,1.22,-,-,K' = 22.0 (Gemini-North)
090708A,356776,154.632,26.616,15.0,6.9,1.78,"Due to an observing constraint, Swift cannot slew to the BAT position, and it will not be observable until early October. There will thus be no XRT or UVOT data for this trigger.",-,-
090628A,355942,237.038,-15.969,20.1,7.0,1.36,"Due to an Earth limb constraint, a prompt slew was not possible. Swift will execute a delayed slew after 2656 s.|UVOT: no detection",-,-
090618A,355083,294.008,78.352,113.2,1050.0,-,-,0.54,"r = 22.7, i = 22.2 (SDSS)"
090531B,353728,252.07,-36.015,80.0,7.1,1.51,"Due to an observing constraint, Swift did not slew until T0+50.1 minutes.|UVOT: no detection",-,-
090531A,353627,178.672,7.824,32.0,13.0,-,"Because of a Moon constraint, Swift could not slew, and there will be no XRT or UVOT observations until June 3.",-,-
090530A,353567,179.4,26.59,48.0,11.0,1.61,-,-,-
090529A,353540,212.446,24.45,100.0,6.8,2.0,-,2.625,-
090520A,352671,11.613,-8.0,20.0,3.4,0.8,BAT: detected in ground analysis|No Swift followup observation is planned,-,-
090519A,352648,142.317,0.19,64.0,12.0,1.02,UVOT: no detection,3.9,-
090518A,352420,119.957,0.778,6.9,4.7,1.54,UVOT: no detection,-,-
090516A,352190,138.246,-11.848,210.0,90.0,1.84,UVOT: no detection,4.109,-
090509A,351525,241.422,-28.385,335.0,33.0,1.75,"Due to the Moon observing constraint, Swift cannot slew to the BAT position until May 12.  There will thus be no XRT or UVOT data for this trigger.",-,-
090429B,350854,210.672,32.167,5.5,3.1,0.47,UVOT: no detection,9.4,-
090429A,350853,90.573,-52.389,188.0,10.0,1.55,UVOT: no detection,-,-
090424A,350311,189.531,16.829,48.0,210.0,-,-,0.544,-
090423A,350184,148.891,18.165,10.3,5.9,-,UVOT: no detection,8.0,-
090422A,349931,294.746,40.398,8.5,2.3,1.72,UVOT: no detection,-,-
090419A,349592,197.006,-75.615,450.0,25.0,1.38,-,-,-
090418A,349510,269.32,33.407,56.0,46.0,1.48,-,1.608,-
090418B,BATSS,225.91,17.224,65.0,160.0,-,BATSS detected burst.,-,-
090417B,349450,209.687,47.015,260.0,23.0,1.85,UVOT: no detection,-,-
090410A,348929,334.956,15.419,165.0,56.0,1.19,"Swift cannot slew to the BAT position.  The burst is  sun-constrained until Tuesday, 2009 April 14.  There will thus be no XRT or UVOT data for this trigger.",-,-
090407A,348650,68.979,-12.684,310.0,11.0,1.73,UVOT: no detection,1.4485,-
090404A,348428,239.233,35.518,84.0,30.0,2.32,UVOT: no detection,-,-
090401B,348152,95.095,-8.963,183.0,100.0,1.37,-,-,-
090401A,348128,350.92,29.762,112.0,110.0,1.7,"Due to an observing constraint, Swift cannot slew to the BAT position. It will not be possible to observe until 2nd May due to a sun constraint. There will thus be no XRT or UVOT data for this trigger.",-,-
090313A,346386,198.4,8.086,79.0,14.0,1.91,"Due to a Moon observing constraint, Swift cannot slew to the BAT position until 16:45 UT. There will thus be no prompt XRT or UVOT data for this trigger.",3.375,-
090308A,345777,183.545,-48.754,48.0,2.6,2.33,UVOT: no detection,-,-
090307A,345551,245.007,-28.647,22.0,2.6,1.08,UVOT: no detection,-,-
090306B,BATSS,231.204,-6.958,20.4,31.0,-,BATSS detected burst.,-,-
090301A,344582,338.142,26.639,41.0,230.0,-,"Due to an observing constraint, Swift cannot slew to the BAT position. There will thus be no XRT or UVOT data for this trigger. The source will become observable again after April 15th.",-,-
090205A,342121,220.917,-27.848,8.8,1.9,2.15,Declared a burst of interest.,4.7,-
090201A,341749,92.051,-46.604,83.0,300.0,-,"Due to an observing constraint, Swift will not slew until T0+45.3 minutes. There will be no XRT or UVOT data until this time.|UVOT: no detection",-,-
090129A,341504,269.105,-32.793,17.5,21.0,1.88,"Due to an observing constraint, Swift cannot slew to the BAT position. There will thus be no XRT or UVOT data for this trigger until at least 03 Feb 2009.",-,-
090123A,340895,6.794,-23.503,131.0,29.0,1.74,-,-,-
090118A,BATSS,49.865,18.478,16.0,4.0,1.35,"BATSS detected burst.|A follow-up Swift ToO observation has been scheduled to begin at 20:52 UT, 6.97 hours after the burst.|UVOT: no detection",-,-
090113A,339852,32.067,33.436,9.1,7.6,1.6,UVOT: no detection,1.7493,-
090111A,339696,251.656,0.067,24.8,6.2,2.37,-,-,-
090107A,339295,302.409,4.744,12.2,2.3,1.69,"Due to the Sun observing constraint, Swift cannot slew to the BAT position.  There will thus be no XRT or UVOT data for this trigger.",-,-
090102A,338895,128.248,33.107,27.0,0.68,1.36,Declared a burst of interest.,1.547,R~24.5 (HST)
081230A,338633,37.33,-25.145,60.7,8.2,1.97,-,-,-
081222A,337914,22.748,-34.095,24.0,48.0,-,-,2.77,-
081221A,337889,15.801,-24.542,34.0,181.0,-,Note that this burst is coincident with a Fermi GBM burst (trigger 251569273)|UVOT: no detection,2.26,"B~25.4, I~24.5 (Keck I)"
081210A,337073,70.485,-11.263,146.0,18.0,1.42,-,-,-
081203B,BATSS,228.789,44.427,23.4,21.0,1.65,"BATSS detected burst.|A follow-up Swift ToO observation has been scheduled to begin at 18:26 UT, 4.6 hours after the burst.",-,-
081203A,336489,233.071,63.514,294.0,77.0,1.54,-,2.1,-
081128A,335895,20.8,38.123,100.0,23.0,-,UVOT: no detection,-,-
081127A,335715,332.075,6.858,37.0,4.9,2.1,UVOT: no detection,-,-
081126A,335647,323.526,48.714,54.0,33.0,1.27,-,-,-
081121A,335105,89.282,-60.612,14.0,41.0,-,"Due to an observing constraint, Swift will not slew until T0+45.2 minutes.",2.512,-
081118A,334877,82.572,-43.305,67.0,12.0,2.1,UVOT: no detection,2.58,-
081109A,334112,330.798,-54.711,190.0,36.0,1.72,-,-,-
081104A,333666,100.5,-54.722,59.1,20.0,2.0,"Due to an observing constraint, Swift will not slew until T0+40.5 minutes.|UVOT: no detection",-,-
081102A,333427,331.178,52.991,63.0,23.0,1.73,UVOT: no detection,-,-
081029A,332931,346.776,-68.179,270.0,21.0,1.43,"Due to an observing constraint, Swift will not slew until T0+41.3 minutes.",3.8479,-
081028A,332851,121.893,2.305,260.0,37.0,1.25,"UVOT: no initial detection, but detection of a re-brightening of the afterglow",3.038,-
081025A,BATSS,245.298,60.466,23.0,19.0,1.12,"BATSS detected burst.|A follow-up Swift ToO observation has been scheduled to begin on 10/26/08 at 04:58 UT, 20.6 hours after the burst.|UVOT: no detection",-,-
